%estrutura dos dados
%n1, n2, n3, n4, n5, s1, s2

@relation milhao
  
@attribute primeiro_num real
@attribute segundo_num real
@attribute terceiro_num real
@attribute quarto_num real
@attribute quinto_num real
@attribute primeira_estrela real
@attribute segunda_estrela real

@data
17, 8, 10, 7, 6, 8, 8
45, 13, 19, 28, 6, 6, 3
44, 9, 34, 13, 15, 1, 7
35, 25, 26, 9, 43, 6, 9
24, 18, 39, 35, 1, 9, 4
7, 13, 49, 1, 40, 4, 4
4, 2, 19, 50, 3, 9, 10
22, 13, 46, 16, 26, 4, 4
11, 37, 33, 26, 49, 7, 5
48, 14, 3, 24, 21, 9, 10
41, 5, 28, 50, 39, 11, 12
34, 5, 16, 14, 32, 5, 5
23, 22, 48, 27, 38, 9, 12
3, 13, 33, 12, 20, 12, 3
7, 47, 4, 45, 25, 4, 4
9, 21, 17, 6, 12, 1, 1
23, 30, 15, 13, 43, 6, 6
48, 34, 13, 3, 32, 6, 5
31, 39, 41, 14, 2, 12, 8
5, 8, 10, 16, 3, 5, 11
21, 9, 13, 17, 42, 5, 1
27, 49, 46, 39, 48, 4, 4
12, 25, 13, 42, 18, 5, 2
30, 8, 4, 25, 5, 9, 4
42, 1, 49, 30, 38, 12, 7
31, 47, 1, 6, 30, 9, 9
21, 32, 10, 50, 47, 11, 9
17, 22, 26, 47, 38, 2, 3
26, 13, 38, 20, 37, 2, 1
39, 49, 38, 24, 1, 2, 4
34, 23, 34, 1, 5, 8, 5
47, 2, 22, 46, 37, 12, 6
15, 39, 3, 34, 48, 3, 3
8, 35, 34, 9, 23, 6, 6
2, 30, 37, 47, 31, 6, 11
39, 21, 42, 36, 50, 12, 2
32, 28, 19, 8, 48, 7, 3
38, 17, 46, 38, 39, 10, 4
1, 23, 7, 31, 19, 10, 4
13, 19, 41, 5, 9, 11, 10
5, 15, 28, 37, 8, 4, 2
19, 4, 36, 6, 49, 11, 5
22, 21, 19, 6, 30, 12, 12
9, 40, 23, 24, 29, 8, 12
49, 8, 14, 38, 33, 5, 12
7, 31, 25, 24, 30, 10, 1
40, 30, 15, 18, 24, 6, 5
46, 13, 44, 36, 50, 8, 4
21, 31, 7, 47, 29, 12, 12
9, 9, 7, 7, 9, 8, 6
44, 41, 15, 36, 16, 6, 7
46, 13, 46, 20, 39, 6, 4
20, 13, 21, 39, 17, 9, 9
9, 12, 22, 45, 6, 12, 4
45, 2, 47, 24, 42, 10, 1
3, 43, 13, 26, 31, 9, 7
36, 34, 16, 7, 24, 1, 4
36, 45, 7, 21, 20, 4, 7
14, 18, 37, 47, 40, 9, 4
39, 30, 47, 34, 49, 2, 6
22, 46, 28, 45, 46, 4, 12
7, 35, 11, 18, 37, 10, 10
35, 19, 20, 34, 20, 7, 2
28, 42, 47, 48, 50, 7, 4
15, 3, 35, 44, 20, 12, 7
22, 34, 50, 20, 38, 12, 1
3, 34, 20, 16, 18, 9, 9
32, 34, 6, 21, 50, 7, 9
5, 2, 5, 50, 34, 2, 7
22, 47, 8, 24, 48, 2, 10
25, 27, 45, 21, 24, 11, 7
10, 29, 13, 27, 33, 10, 4
40, 27, 15, 22, 40, 9, 10
34, 4, 4, 15, 27, 6, 6
5, 8, 2, 27, 2, 9, 8
24, 41, 34, 13, 6, 3, 2
48, 29, 10, 30, 46, 4, 7
8, 33, 5, 14, 13, 7, 12
15, 3, 22, 1, 17, 7, 11
4, 9, 23, 37, 15, 11, 3
31, 14, 36, 46, 6, 1, 6
25, 34, 12, 34, 38, 11, 2
6, 38, 47, 47, 18, 3, 4
23, 42, 26, 27, 16, 11, 1
32, 42, 30, 2, 13, 8, 3
16, 13, 17, 31, 1, 4, 4
23, 22, 10, 27, 25, 12, 2
16, 20, 44, 24, 45, 3, 6
48, 44, 32, 17, 19, 2, 8
31, 27, 32, 45, 45, 5, 9
17, 8, 21, 42, 44, 8, 8
34, 6, 26, 43, 22, 2, 1
50, 15, 49, 44, 46, 6, 1
48, 38, 15, 33, 50, 11, 4
35, 20, 35, 14, 47, 7, 9
26, 42, 2, 6, 22, 10, 8
16, 44, 4, 13, 24, 6, 11
23, 32, 36, 11, 49, 5, 1
48, 47, 29, 1, 5, 2, 3
41, 25, 18, 22, 50, 7, 6
2, 32, 33, 17, 23, 5, 1
2, 5, 18, 21, 50, 3, 11
24, 13, 18, 22, 44, 11, 10
38, 3, 32, 29, 23, 7, 6
24, 1, 40, 46, 19, 7, 9
27, 3, 46, 50, 49, 12, 10
18, 4, 48, 34, 2, 8, 12
22, 43, 48, 36, 37, 5, 10
33, 21, 5, 49, 10, 2, 2
36, 26, 5, 29, 45, 11, 5
20, 36, 8, 6, 2, 8, 12
13, 27, 25, 28, 48, 3, 1
26, 36, 13, 14, 33, 11, 10
32, 9, 26, 41, 35, 10, 4
21, 40, 48, 28, 18, 2, 9
45, 27, 13, 49, 4, 10, 7
21, 39, 11, 7, 22, 10, 4
34, 32, 6, 47, 32, 3, 4
47, 16, 4, 14, 6, 9, 10
11, 4, 20, 34, 46, 12, 12
34, 19, 26, 9, 13, 11, 5
4, 24, 39, 36, 38, 9, 11
21, 27, 21, 7, 40, 4, 9
15, 42, 19, 31, 46, 6, 10
2, 16, 35, 10, 1, 10, 5
33, 37, 41, 9, 3, 11, 1
7, 33, 23, 2, 10, 12, 4
4, 46, 17, 27, 48, 9, 11
22, 10, 30, 30, 50, 3, 12
9, 47, 36, 25, 40, 3, 7
18, 7, 38, 15, 42, 6, 7
6, 19, 28, 21, 15, 12, 11
28, 36, 47, 42, 41, 3, 4
17, 17, 8, 6, 9, 11, 4
50, 8, 26, 43, 21, 9, 9
12, 49, 38, 10, 35, 8, 12
21, 26, 46, 15, 19, 10, 6
47, 14, 21, 32, 49, 7, 10
50, 18, 25, 3, 34, 7, 3
24, 20, 44, 15, 21, 2, 12
13, 14, 35, 47, 20, 8, 8
39, 24, 38, 19, 30, 3, 9
1, 6, 46, 20, 3, 1, 10
36, 2, 15, 44, 4, 8, 12
47, 42, 37, 39, 36, 1, 7
9, 41, 23, 50, 45, 2, 7
50, 8, 26, 6, 35, 10, 5
33, 12, 16, 12, 15, 7, 10
28, 17, 35, 46, 38, 1, 2
35, 6, 42, 22, 16, 7, 10
3, 38, 39, 29, 1, 2, 8
17, 29, 10, 24, 1, 8, 12
38, 7, 36, 21, 9, 2, 2
19, 43, 3, 39, 15, 2, 8
5, 1, 47, 44, 5, 7, 12
22, 4, 41, 45, 24, 6, 4
26, 44, 45, 44, 37, 7, 9
38, 50, 22, 48, 43, 9, 4
40, 27, 17, 19, 41, 12, 10
5, 48, 2, 46, 49, 9, 6
48, 11, 46, 35, 46, 7, 6
23, 29, 36, 5, 6, 12, 2
1, 39, 31, 25, 45, 8, 5
40, 4, 41, 12, 1, 10, 9
24, 11, 34, 29, 1, 12, 6
6, 35, 20, 3, 11, 10, 2
6, 48, 44, 4, 30, 8, 8
18, 11, 31, 10, 48, 5, 10
43, 35, 17, 19, 33, 2, 11
20, 17, 49, 48, 22, 3, 6
42, 19, 5, 2, 17, 2, 4
38, 10, 32, 16, 28, 11, 6
36, 48, 26, 50, 43, 4, 9
19, 23, 16, 24, 24, 12, 7
17, 42, 50, 3, 30, 11, 10
46, 17, 11, 35, 50, 2, 1
47, 20, 41, 11, 38, 10, 4
50, 35, 5, 6, 19, 3, 5
23, 19, 48, 17, 41, 12, 3
35, 30, 34, 10, 25, 12, 7
17, 23, 15, 12, 2, 12, 9
6, 30, 12, 24, 38, 1, 2
5, 25, 37, 25, 23, 6, 12
25, 16, 9, 2, 24, 5, 4
6, 39, 43, 37, 39, 6, 7
49, 41, 23, 13, 26, 4, 12
1, 23, 26, 8, 12, 10, 2
41, 23, 23, 24, 47, 4, 10
14, 47, 25, 44, 27, 1, 10
47, 37, 48, 11, 11, 3, 4
40, 46, 10, 2, 11, 11, 7
24, 22, 47, 7, 31, 5, 4
50, 43, 34, 5, 27, 4, 12
17, 21, 37, 26, 7, 6, 1
36, 12, 22, 34, 39, 5, 9
48, 16, 37, 11, 41, 6, 8
2, 38, 42, 21, 44, 5, 1
19, 15, 30, 22, 11, 3, 6
48, 50, 34, 9, 36, 10, 6
6, 4, 33, 50, 25, 4, 10
45, 22, 45, 45, 45, 9, 4
31, 19, 6, 1, 5, 6, 8
50, 37, 20, 26, 36, 12, 6
40, 31, 38, 38, 12, 4, 12
13, 4, 42, 23, 4, 12, 2
15, 46, 15, 20, 27, 8, 1
8, 37, 42, 22, 40, 1, 9
40, 20, 23, 35, 16, 11, 1
44, 31, 44, 20, 19, 2, 3
41, 9, 33, 46, 10, 3, 1
15, 22, 38, 42, 47, 4, 2
31, 26, 34, 20, 43, 3, 7
28, 37, 20, 26, 26, 5, 5
42, 18, 25, 37, 15, 1, 9
20, 39, 19, 17, 38, 2, 1
45, 21, 28, 16, 31, 10, 6
14, 3, 38, 20, 28, 11, 7
22, 9, 3, 34, 37, 5, 8
7, 44, 7, 4, 40, 4, 7
13, 27, 29, 19, 29, 5, 4
36, 25, 24, 42, 20, 8, 11
19, 30, 7, 37, 38, 8, 8
50, 23, 32, 5, 35, 7, 7
31, 23, 34, 38, 12, 8, 9
13, 45, 36, 11, 46, 10, 6
7, 19, 14, 38, 18, 9, 6
29, 23, 42, 3, 41, 4, 3
47, 22, 8, 30, 34, 3, 1
19, 44, 19, 28, 36, 11, 2
14, 33, 31, 45, 37, 12, 4
42, 27, 24, 44, 42, 10, 10
46, 28, 12, 24, 8, 6, 11
5, 41, 16, 46, 6, 9, 2
38, 50, 5, 5, 25, 11, 8
7, 3, 36, 10, 11, 12, 10
20, 41, 48, 13, 6, 1, 5
38, 14, 44, 18, 1, 1, 10
42, 40, 6, 16, 9, 8, 7
9, 1, 49, 4, 16, 4, 10
21, 43, 36, 50, 23, 4, 9
20, 41, 37, 10, 49, 2, 9
34, 45, 16, 21, 31, 10, 11
29, 11, 21, 20, 36, 2, 7
6, 33, 39, 45, 15, 8, 7
21, 37, 48, 48, 24, 3, 4
18, 29, 43, 33, 26, 5, 12
35, 21, 23, 50, 24, 8, 11
1, 23, 40, 2, 22, 1, 11
11, 20, 50, 15, 50, 3, 10
36, 48, 16, 28, 4, 2, 6
29, 10, 50, 26, 6, 2, 10
32, 3, 35, 10, 20, 2, 9
34, 4, 19, 44, 46, 2, 6
16, 50, 17, 6, 2, 2, 5
10, 28, 27, 7, 8, 6, 11
10, 36, 49, 15, 28, 6, 10
29, 49, 11, 13, 1, 8, 4
19, 14, 46, 17, 37, 4, 12
19, 46, 12, 27, 34, 7, 2
29, 10, 11, 2, 23, 4, 12
18, 6, 18, 16, 14, 8, 2
4, 22, 9, 30, 8, 6, 8
5, 19, 27, 10, 2, 4, 2
12, 36, 9, 16, 14, 11, 5
7, 26, 34, 34, 47, 8, 11
12, 38, 3, 3, 40, 6, 7
14, 14, 50, 44, 30, 1, 11
48, 42, 48, 17, 11, 2, 3
5, 47, 7, 37, 11, 3, 1
47, 50, 49, 2, 15, 11, 8
37, 8, 49, 12, 40, 12, 5
34, 43, 30, 30, 6, 2, 12
27, 35, 9, 8, 15, 3, 9
5, 7, 46, 7, 10, 1, 11
18, 31, 37, 32, 41, 10, 1
11, 48, 43, 50, 4, 3, 10
15, 37, 5, 39, 4, 2, 3
12, 4, 24, 15, 13, 12, 7
19, 3, 36, 20, 21, 11, 9
41, 27, 23, 36, 33, 5, 9
49, 43, 22, 20, 37, 6, 11
29, 17, 27, 31, 34, 6, 11
25, 33, 1, 43, 49, 2, 9
19, 17, 32, 38, 45, 5, 2
7, 22, 40, 13, 39, 9, 11
46, 26, 6, 22, 3, 7, 6
21, 3, 49, 25, 38, 11, 9
47, 35, 23, 19, 30, 12, 11
16, 48, 13, 26, 21, 4, 1
40, 5, 41, 31, 15, 11, 5
12, 5, 11, 10, 11, 1, 11
17, 40, 48, 15, 46, 10, 12
21, 25, 26, 20, 24, 10, 2
4, 44, 26, 47, 46, 4, 8
42, 7, 22, 26, 43, 10, 7
18, 30, 16, 8, 36, 1, 3
23, 32, 24, 1, 41, 12, 4
17, 22, 13, 1, 42, 4, 5
20, 43, 33, 36, 28, 7, 1
27, 37, 46, 21, 33, 12, 5
49, 35, 14, 34, 40, 5, 12
7, 41, 16, 50, 36, 9, 12
7, 41, 32, 16, 46, 10, 12
31, 46, 28, 31, 17, 5, 4
21, 37, 1, 21, 31, 11, 9
16, 5, 23, 5, 15, 3, 10
28, 7, 48, 43, 18, 1, 5
8, 1, 9, 2, 12, 11, 3
13, 22, 21, 10, 24, 8, 9
50, 23, 22, 50, 23, 6, 5
14, 35, 50, 21, 15, 2, 7
27, 14, 48, 5, 5, 12, 8
8, 30, 14, 7, 1, 12, 1
